Adv. Campaign,Clicks,Time
"Chegg, Inc.",7049,B-Feb'23
Hostinger,2017,M-Jan'24
Wondershare Software,1224,M-Jan'24
Hostinger,1874,N-Feb'24
Walmart,17626,A-Jan'23
Best Buy U.S,4924,A-Jan'23
DataCamp,1763,A-Jan'23
namecheap,1595,A-Jan'23
Web.com,4638,A-Jan'23
Calvin Klein HK,1494,A-Jan'23
Walmart,13144,B-Feb'23
DataCamp,1431,B-Feb'23
namecheap,1230,B-Feb'23
Web.com,3436,B-Feb'23
Best Buy U.S,3307,B-Feb'23
Calvin Klein HK,1096,B-Feb'23
Walmart,12981,C-Mar'23
InVideo,1174,C-Mar'23
Surfshark,1275,C-Mar'23
CASETiFY,1638,C-Mar'23
DataCamp,1539,C-Mar'23
NordVPN,1081,C-Mar'23
namecheap,1309,C-Mar'23
Web.com,3582,C-Mar'23
Lenovo India,1023,C-Mar'23
Best Buy U.S,3195,C-Mar'23
Calvin Klein HK,1118,C-Mar'23
Walmart,12748,D-Apr'23
InVideo,1383,D-Apr'23
Surfshark,1335,D-Apr'23
NordVPN,1040,D-Apr'23
namecheap,1206,D-Apr'23
DataCamp,1330,D-Apr'23
Web.com,3142,D-Apr'23
Best Buy U.S,3252,D-Apr'23
Calvin Klein HK,1172,D-Apr'23
Walmart,12306,E-May'23
namecheap,1236,E-May'23
DataCamp,1152,E-May'23
Best Buy U.S,2934,E-May'23
Web.com,2859,E-May'23
Calvin Klein HK,1029,E-May'23
Walmart,11360,F-Jun'23
namecheap,1041,F-Jun'23
Web.com,2729,F-Jun'23
Best Buy U.S,2597,F-Jun'23
Upwork,1331,H-Aug'23
Upwork,1307,I-Sept'23
Upwork,1158,J-Oct'23
DHgate,1870,K-Nov'23
DHgate,119375,L-Dec'23
Uber Global Riders,1542,L-Dec'23
DHgate,47001,A-Jan'23
Uber Global Riders,5323,A-Jan'23
Upwork,2273,A-Jan'23
DHgate,130824,B-Feb'23
Uber Global Riders,3570,B-Feb'23
Upwork,1346,B-Feb'23
Web.com,3698,B-Feb'23
Best Buy U.S,1781,B-Feb'23
Envato Elements,1144,B-Feb'23
ADIDAS,12622,E-May'23
Ajio,1097,E-May'23
Myntra,11853,E-May'23
PUMA,1689,E-May'23
Ajio,4803,F-Jun'23
Boat Lifestyle,1225,F-Jun'23
Flipkart,66311,F-Jun'23
Myntra,179022,F-Jun'23
PUMA,1906,F-Jun'23
Ajio,18394,G-Jul'23
Flipkart,159841,G-Jul'23
Myntra,17229,G-Jul'23
PUMA,1167,G-Jul'23
Samsung Branch,2972,G-Jul'23
Ajio,4301,H-Aug'23
Flipkart,22196,H-Aug'23
Myntra,8652,H-Aug'23
Ajio,4301,I-Sept'23
Flipkart,22196,I-Sept'23
Myntra,8652,I-Sept'23
Ajio,5241,J-Oct'23
Flipkart,28813,J-Oct'23
Myntra,27203,J-Oct'23
Ajio,13307,K-Nov'23
Myntra,23069,K-Nov'23
ADIDAS,2847,L-Dec'23
Ajio,1513,L-Dec'23
Myntra,11954,L-Dec'23
ADIDAS,12622,M-Jan'24
Ajio,1097,M-Jan'24
