,Campaign_Name,Status,Payout,Currency,Date,Customer_city,Customer_Region,Customer_Country,Sub_Id
244,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Portland,Oregon,US,gmg
245,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-07,York,Pennsylvania,US,gmg
246,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-08,York,Pennsylvania,US,gmg
247,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-08,York,Pennsylvania,US,gmg
248,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Lee's Summit,Missouri,US,gmg
249,Walmart Affiliate Program,APPROVED,0.09,USD,2024-01-08,Anchorage,Alaska,US,gmg
250,Walmart Affiliate Program,APPROVED,1.45,USD,2024-01-07,Portland,Oregon,US,gmg
251,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Latham,New York,US,gmg
252,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Springfield,Missouri,US,gmg
253,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Chicago,Illinois,US,gmg
254,Walmart Affiliate Program,APPROVED,0.72,USD,2024-01-08,Greenville,South Carolina,US,gmg
255,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Warner Robins,Georgia,US,gmg
256,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Anchorage,Alaska,US,gmg
257,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Chicago,Illinois,US,gmg
258,Walmart Affiliate Program,APPROVED,0.39,USD,2024-01-08,Caledonia,Mississippi,US,gmg
259,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Reno,Nevada,US,gmg
260,Walmart Affiliate Program,APPROVED,0.15,USD,2024-01-08,Portland,Oregon,US,gmg
261,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Arlington,Virginia,US,gmg
262,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Brooklyn,New York,US,gmg
263,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Broomfield,Colorado,US,gmg
264,Walmart Affiliate Program,APPROVED,0.10,USD,2024-01-08,Bessemer,Alabama,US,gmg
265,DHgate,REVERSED,0.00,USD,2024-01-08,Nashville,Tennessee,US,gmg
266,Walmart Affiliate Program,APPROVED,0.15,USD,2024-01-08,Portland,Oregon,US,gmg
267,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Union City,New Jersey,US,gmg
268,NordVPN,REVERSED,0.00,USD,2024-01-07,Florence,Alabama,US,gmg
269,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Manahawkin,New Jersey,US,gmg
270,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Union City,New Jersey,US,gmg
271,Walmart Affiliate Program,APPROVED,0.48,USD,2024-01-09,Warren,Michigan,US,gmg
272,Walmart Affiliate Program,APPROVED,0.24,USD,2024-01-09,Port Huron,Michigan,US,gmg
273,Walmart Affiliate Program,APPROVED,1.01,USD,2024-01-09,Everett,Washington,US,gmg
274,Walmart Affiliate Program,APPROVED,1.26,USD,2024-01-09,Canton,Georgia,US,gmg
275,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-09,Everett,Washington,US,gmg
276,Walmart Affiliate Program,APPROVED,1.76,USD,2024-01-09,Columbus,Mississippi,US,gmg
