,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
32,32,1053710070,gpt-1079104190|course|4651924,16622,1053710070,22448,Udemy WW,Real Pricetracker,,,MX,690,Paid course,sale,7.66,pending,0,tabm,,,,,0.61,USD,,,0,,2024-05-16 01:16:30,2024-05-16 01:28:00,,2024-05-19 14:24:12,1253794350,21660,2024-05-16 01:28:00,7.66,0.61,7.97,,True,,,,,,
33,33,1053710067,gpt-1079104450|course|2597160,16622,1053710067,22448,Udemy WW,Real Pricetracker,,,FR,528,Paid course,sale,16.21,pending,0,tabm,,,,,1.3,USD,,,0,,2024-05-16 01:19:12,2024-05-16 01:28:00,,2024-05-19 14:24:11,1253794345,21660,2024-05-16 01:28:00,16.21,1.30,8.02,,True,,,,,,
34,34,1053710075,gpt-1079100080|course|4810102,16622,1053710075,22448,Udemy WW,Real Pricetracker,,,US,-2031,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,2024-05-16 00:58:51,2024-05-16 00:25:00,,2024-05-19 14:24:12,1253794354,21660,2024-05-16 00:25:00,10.50,0.84,8.00,,True,,,,,,
35,35,1052930323,1GYZXPN9,15601,1052930323,21870,Radisson Hotel Group many GEOs,xocoupon,,,NL,75,Paid order Park Inn ,sale,322.6,pending,0,tabm,,,,,12.9,EUR,,,0,,2024-05-15 23:25:15,2024-05-15 23:26:30,,2024-05-15 23:26:30,1252354865,20302,2024-05-15 23:26:30,322.60,12.90,4.00,501908.0,True,,TRISTKAV,,,,
36,36,1053703134,gpt-1078996476|course|1241098,16622,1053703134,22448,Udemy WW,Real Pricetracker,,,US,-1344,Paid course,sale,14.96,pending,0,tabm,,,,,1.2,USD,,,0,,2024-05-15 19:51:24,2024-05-15 19:29:00,,2024-05-19 13:24:41,1253785482,21660,2024-05-15 19:29:00,14.96,1.20,8.03,,True,,,,,,
37,37,1053703098,gpt-1078959332|course|2980170,16622,1053703098,22448,Udemy WW,Real Pricetracker,,,TR,654,Paid course,sale,4.02,pending,0,avb,,,,,0.32,USD,,,0,,2024-05-15 18:24:06,2024-05-15 18:35:00,,2024-05-19 13:24:41,1253785448,21660,2024-05-15 18:35:00,4.02,0.32,7.97,,True,,,,,,
38,38,1052838974,15962.5979.64570,28955,1052838974,30956,Pdffiller Many Geos,Real Pricetracker,,,US,2581776,Sale,sale,96.0,pending,0,tabm,,,,,40.0,USD,,,0,,2024-04-15 16:01:42,2024-05-15 13:11:18,,2024-05-15 13:34:37,1252249171,63584,2024-05-15 13:11:18,96.00,40.00,40.00,,False,,,,,,
39,39,1053703262,gpt-1078828072|course|951050,16622,1053703262,22448,Udemy WW,Real Pricetracker,,,IN,-1825,Paid course,sale,4.78,pending,0,avb,,,,,0.38,USD,,,0,,2024-05-15 12:57:25,2024-05-15 12:27:00,,2024-05-19 13:24:42,1253785610,21660,2024-05-15 12:27:00,4.78,0.38,7.95,,True,,,,,,
40,40,1052811961,15962.5978.1532361,28955,1052811961,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,769,Sale,sale,,pending,0,aab,,,,,0.0,USD,,,0,,2024-05-15 09:59:52,2024-05-15 10:12:41,,2024-05-15 10:32:11,1252216078,63584,2024-05-15 10:12:41,0.00,0.00,0.00,,False,,,,,,
41,41,1052811965,15962.5978.1532277,28955,1052811965,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,764,Sale,sale,,pending,0,aab,,,,,0.0,USD,,,0,,2024-05-15 09:59:52,2024-05-15 10:12:36,,2024-05-15 10:32:11,1252216080,63584,2024-05-15 10:12:36,0.00,0.00,0.00,,False,,,,,,
42,42,1052811960,15962.5978.1530239,28955,1052811960,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,753,Sale,sale,,pending,0,aab,,,,,0.0,USD,,,0,,2024-05-15 09:59:31,2024-05-15 10:12:04,,2024-05-15 10:32:11,1252216077,63584,2024-05-15 10:12:04,0.00,0.00,0.00,,False,,,,,,
43,43,1052809940,481608417,14275,1052809940,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,AU,88,Conversion,sale,77.39,pending,0,tabm,,,,,2.76,USD,,,0,,2024-05-15 09:39:32,2024-05-15 09:41:00,,2024-05-15 10:22:56,1252213773,18508,2024-05-15 09:41:00,77.39,2.76,3.57,,True,,,,,,
44,44,1053703336,gpt-1078696926|course|1168544,16622,1053703336,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,2024-05-15 06:40:06,2024-05-15 06:33:00,,2024-05-19 13:24:42,1253785687,21660,2024-05-15 06:33:00,9.99,0.80,8.01,,True,,,,,,
45,45,1053703318,gpt-1078696926|course|980450,16622,1053703318,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,2024-05-15 06:40:06,2024-05-15 06:33:00,,2024-05-19 13:24:42,1253785667,21660,2024-05-15 06:33:00,9.99,0.80,8.01,,True,,,,,,
46,46,1052707276,481591523,14275,1052707276,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,89,Conversion,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-15 06:13:31,2024-05-15 06:15:00,,2024-05-15 07:22:28,1251976691,18508,2024-05-15 06:15:00,0.00,0.00,0.00,,True,,,,,,
47,47,1053560661,gpt-1078615122|course|533682,16622,1053560661,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,15.76,pending,0,tabm,,,,,1.26,USD,,,0,,2024-05-15 00:38:48,2024-05-15 00:30:00,,2024-05-18 17:23:30,1253530021,21660,2024-05-15 00:30:00,15.76,1.26,8.00,,True,,,,,,
48,48,1053560359,gpt-1078615122|course|2862626,16622,1053560359,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,2024-05-15 00:38:48,2024-05-15 00:30:00,,2024-05-18 17:23:28,1253529717,21660,2024-05-15 00:30:00,10.50,0.84,8.00,,True,,,,,,
49,49,1052635434,4405.5978.364867,16070,1052635434,22143,Norton [CPS] WW,xocoupon,,,GB,652,Sale,sale,20.92,pending,0,tabm,,,,,22.4,USD,,,0,,2024-05-14 18:47:24,2024-05-14 18:58:16,,2024-05-14 19:22:59,1251898063,25639,2024-05-14 18:58:16,20.92,22.40,22.40,,False,,,,,,
